epoch,step,test/acc,test/acc_best,test/f1_score,test/loss,train/acc,train/f1_score,train/loss,val/acc,val/f1_score,val/loss
0,358,,,,,,,,0.43358084559440613,0.5587345361709595,2.2836949825286865
0,358,,,,,0.2373620569705963,0.2341095358133316,3.394364356994629,,,
1,717,,,,,,,,0.5505362749099731,0.6821204423904419,1.7435230016708374
1,717,,,,,0.45614340901374817,0.4597947299480438,2.2058846950531006,,,
2,1076,,,,,,,,0.5798267126083374,0.7041935920715332,1.6003698110580444
2,1076,,,,,0.5286343693733215,0.5340164303779602,1.854225993156433,,,
3,1435,,,,,,,,0.6128300428390503,0.7398403286933899,1.4863415956497192
3,1435,,,,,0.5662755966186523,0.5719221830368042,1.6892259120941162,,,
4,1794,,,,,,,,0.6423267126083374,0.7650348544120789,1.3686392307281494
4,1794,,,,,0.5946264266967773,0.6009537577629089,1.5585676431655884,,,
5,2153,,,,,,,,0.6604785323143005,0.7816867232322693,1.2787539958953857
5,2153,,,,,0.6210581660270691,0.6266458630561829,1.464080572128296,,,
6,2512,,,,,,,,0.6606848239898682,0.7798565626144409,1.2852250337600708
6,2512,,,,,0.6384612321853638,0.6455087661743164,1.3816944360733032,,,
7,2871,,,,,,,,0.6610973477363586,0.7820422649383545,1.262604832649231
7,2871,,,,,0.6521568298339844,0.6576850414276123,1.3100101947784424,,,
8,3230,,,,,,,,0.6870874762535095,0.8016963601112366,1.208279013633728
8,3230,,,,,0.6658524870872498,0.6724274158477783,1.255906105041504,,,
9,3589,,,,,,,,0.6749175190925598,0.7902454733848572,1.2371691465377808
9,3589,,,,,0.6850874423980713,0.6922780871391296,1.1947786808013916,,,
10,3590,0.6704950332641602,0.6704950928688049,0.7858110666275024,1.2453734874725342,,,,,,
