epoch,step,test/acc,test/acc_best,test/f1_score,test/loss,train/acc,train/f1_score,train/loss,val/acc,val/f1_score,val/loss
0,358,,,,,,,,0.6382012963294983,0.7593265175819397,1.3676087856292725
0,358,,,,,0.4082958996295929,0.4083379805088043,2.5414860248565674,,,
1,717,,,,,,,,0.7044141888618469,0.8104836940765381,1.1041730642318726
1,717,,,,,0.6231081485748291,0.6283321976661682,1.4579707384109497,,,
2,1076,,,,,,,,0.7312293648719788,0.8325272798538208,0.9814061522483826
2,1076,,,,,0.6741832494735718,0.6811715364456177,1.2208163738250732,,,
3,1435,,,,,,,,0.7506188154220581,0.8465227484703064,0.9260662794113159
3,1435,,,,,0.7135255336761475,0.7210525870323181,1.07725989818573,,,
4,1794,,,,,,,,0.7559818625450134,0.8520732522010803,0.903946578502655
4,1794,,,,,0.7418763637542725,0.7486375570297241,0.9597256183624268,,,
5,2153,,,,,,,,0.7574257254600525,0.8534201383590698,0.9402331709861755
5,2153,,,,,0.7632485628128052,0.7704162001609802,0.8692172765731812,,,
6,2512,,,,,,,,0.7539191246032715,0.85127192735672,0.9195569753646851
6,2512,,,,,0.7787761092185974,0.7855638861656189,0.8093124628067017,,,
7,2871,,,,,,,,0.7679455280303955,0.8600602746009827,0.9116678237915039
7,2871,,,,,0.7958738803863525,0.8022342920303345,0.75034099817276,,,
8,3230,,,,,,,,0.7627887725830078,0.856002151966095,0.9450686573982239
8,3230,,,,,0.8079556822776794,0.814100980758667,0.7065728306770325,,,
9,3589,,,,,,,,0.7685643434524536,0.860889196395874,0.9214880466461182
9,3589,,,,,0.8182055950164795,0.8238371014595032,0.6651905179023743,,,
10,3590,0.7592079043388367,0.7592079043388367,0.8532582521438599,0.97060626745224,,,,,,
